 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Logo_url
1,Oklahoma City Thunder,82,64,18,0.78,48.4,119,43.1,89.1,48.4,13.8,37.9,36.5,19,23.2,81.7,9.6,34.6,44.1,25.8,12.6,9.7,5.5,4.4,19,20.4,11.1,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
2,San Antonio Spurs,82,62,20,0.756,48.1,119.8,43.4,89.9,48.3,13.6,37.9,35.9,19.3,24.6,78.7,11.4,35.6,47,28.1,13.5,7.5,5.5,4.6,18.9,20.2,8.3,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
3,Detroit Pistons,82,60,22,0.732,48.3,117.8,43.4,89.5,48.5,11,30.9,35.6,19.9,26.1,76.3,13.1,32.5,45.6,27.8,15.1,10.4,6.4,5.8,22,21.3,8.2,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
4,Boston Celtics,82,56,26,0.683,48.1,114.9,42.1,90.2,46.7,15.5,42.1,36.7,15.1,18.7,80.7,12.5,33.9,46.4,24.6,12.4,7.1,5,4.1,19,18.4,7.7,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
5,Denver Nuggets,82,54,28,0.659,48.6,122.1,43.5,87.8,49.6,14.2,35.8,39.6,20.8,25.8,80.8,9.8,34.2,44,29,12.9,6.8,4,4.6,19.1,21.5,5.1,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
6,Los Angeles Lakers,82,53,29,0.646,48.1,116.3,42,83.7,50.2,11.8,32.9,35.9,20.4,26.8,76.3,9.4,31.5,41,25.9,14.5,8.5,4.3,3.5,18.5,21,1.8,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
6,New York Knicks,82,53,29,0.646,48.2,116.5,42.7,89.4,47.8,14.2,38.2,37.3,16.8,21.3,79.2,12.7,32.9,45.6,27.4,13.6,8.1,3.9,4.3,20,19.5,6.3,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
8,Cleveland Cavaliers,82,52,30,0.634,48.2,119.5,43.3,90,48.2,14.3,39.8,36,18.5,23.9,77.6,11.7,32.7,44.4,28.3,14,8.5,5,4.3,19.6,20.5,4.1,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
8,Houston Rockets,82,52,30,0.634,48.5,115.2,43,89.8,47.9,11.5,31.5,36.4,17.8,23.4,76.3,15,33.1,48.1,25.4,15.4,8.5,5.8,4.7,18.3,20,5.2,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
10,Minnesota Timberwolves,82,49,33,0.598,48.2,118,42.6,88.5,48.1,13.8,37.2,37,19,25.3,75.2,11.1,33,44.1,26.1,14.8,8.7,5.8,4.1,21.2,20.5,3.4,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
11,Atlanta Hawks,82,46,36,0.561,48.2,118.5,43.6,92,47.4,14.6,39.5,37.1,16.6,21.5,77.4,11,32.6,43.5,30.1,14.2,9.4,4.7,4.9,19.7,18.5,2.4,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
11,Toronto Raptors,82,46,36,0.561,48.2,114.6,42.6,88.4,48.2,11.4,32.1,35.4,18,23.4,76.9,10.9,31.2,42.1,29.5,13.7,8.8,4.8,5,20.9,19.8,2.8,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
13,Orlando Magic,82,45,37,0.549,48.4,115.7,41,88.3,46.4,11.7,34.1,34.3,22,27.5,80.1,11,32.4,43.4,26.5,14.2,8.5,4.7,5.4,21,21.9,0.6,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
